12407, -20, -44, -2, 10873, -10864, -1029, 5580, -12, 1, -1
12475, -21, -45, -3, 10868, -10865, -1024, 5588, -12, 2, 7
12545, -22, -45, -3, 10864, -10867, -1020, 5592, -12, 2, 3
12617, -23, -45, -3, 10860, -10866, -1016, 5601, -12, 1, 3
12686, -24, -45, -4, 10859, -10866, -1013, 5604, -11, 3, 5
12756, -25, -46, -4, 10858, -10866, -1011, 5606, -11, 2, 0
12828, -26, -46, -5, 10858, -10866, -1009, 5608, -11, 3, -2
12896, -27, -46, -5, 10857, -10866, -1007, 5610, -11, 1, 3
12967, -28, -46, -6, 10856, -10866, -1005, 5612, -13, 2, 0
13037, -29, -47, -6, 10855, -10867, -1002, 5614, -11, 2, 0
13106, -30, -47, -7, 10854, -10867, -1000, 5616, -9, 2, 5
13178, -32, -47, -7, 10853, -10867, -998, 5617, -11, 1, 4
13246, -33, -48, -8, 10852, -10868, -996, 5619, -12, 2, -5
13316, -34, -48, -8, 10851, -10868, -994, 5621, -11, 2, 1
13387, -35, -48, -8, 10850, -10868, -992, 5622, -10, 1, 2
13456, -36, -48, -9, 10849, -10868, -990, 5623, -9, 1, 0
13524, -37, -48, -9, 10849, -10869, -988, 5625, -12, 2, 1
